State before win,Win action,Reward
  OX   OX, XOX   OX,0.0
 OO  XXX ,OOO  XXX ,-1.0
  X  XO O,  X XXO O,0.0
  X XXO O, OX XXO O,0.0
 OX XXO O, OXXXXO O,1.0
X   O  OX,X   O XOX,0.0
OXOXX   O,OXOXX X O,0.0
OXOXX X O,OXOXX XOO,0.0
  XOXXO  ,  XOXXOO ,0.0
XOOX  O X,XOOX  OXX,0.0
 O   X XO, O   XXXO,0.0
 O   XXXO, OO  XXXO,0.0
XXO  O   ,XXO  O  X,0.0
XXO  O  X,XXOO O  X,0.0
XXOO O  X,XXOO O XX,0.0
 O OX  X , O OXX X ,0.0
XX XO OXO,XX XOOOXO,0.0
 X OO   X, XXOO   X,0.0
 XXOO   X,OXXOO   X,0.0
X O   XO ,X OX  XO ,1.0
OXO  XX O,OXO  XXXO,0.0
X  O XOX ,XO O XOX ,0.0
XO O XOX ,XO O XOXX,0.0
XO O XOXX,XO OOXOXX,0.0
XO O X  X,XO O X OX,0.0
XO O X OX,XOXO X OX,1.0
X   OXO  ,X   OXOX ,0.0
X   OXOX ,X O OXOX ,-1.0
   O  XOX,  XO  XOX,0.0
  XO  XOX,  XOO XOX,0.0
OX   OX X,OXO  OX X,0.0
XOX O    ,XOX O   X,0.0
 XOX OOXX,OXOX OOXX,0.0
 XO  O X , XO  O XX,0.0
OX   OX X,OX O OX X,0.0
X XXOOOX ,X XXOOOXO,0.0
  XXO OX ,  XXOOOX ,0.0
  XXOOOX ,X XXOOOX ,0.0
 XXXOO   , XXXOO O ,0.0
 XXXOO O , XXXOOXO ,0.0
 XXXOOXO ,OXXXOOXO ,0.0
 O   XXO ,XO   XXO ,0.0
XO   XXO ,XO   XXOO,0.0
XO   XXOO,XOX  XXOO,0.0
 O   XXXO,OO   XXXO,0.0
XO    XO ,XO   XXO ,0.0
XO   XXO ,XO  OXXO ,-1.0
OOXXX    ,OOXXX   O,0.0
OOXXX   O,OOXXX X O,1.0
 O XX O X,OO XX O X,0.0
OO XX O X,OOXXX O X,0.0
 XXO OX  , XXO OXO ,0.0
 O    XOX, O   XXOX,0.0
 X X XOO , X X XOOO,-1.0
   XXOX O, O XXOX O,0.0
 O X X   , O X X O ,0.0
 XOO   X ,XXOO   X ,0.0
XXOO   X ,XXOOO  X ,0.0
 OX X OXO, OXXX OXO,0.0
 XO  O X , XO  OXX ,0.0
 XO  OXX , XOO OXX ,0.0
 O  O XX ,XO  O XX ,0.0
XO  O XX ,XO  O XXO,0.0
O  OX XX ,OO OX XX ,0.0
 O  XX O , OX XX O ,0.0
 OX XX O ,OOX XX O ,0.0
   XOXXO ,   XOXXOO,0.0
   XOXXOO,X  XOXXOO,1.0
 XXO O XO, XXOXO XO,1.0
O    O XX,O    OXXX,1.0
X OOX  X ,X OOX  XO,0.0
X OOX  XO,X OOXX XO,0.0
X OOXX XO,XOOOXX XO,0.0
O  OX X X,OO OX X X,0.0
OO OX X X,OO OX XXX,1.0
 OXXX OXO, OXXXOOXO,0.0
   XOX OX,   XOXOOX,0.0
     XXOO,   X XXOO,0.0
   X XXOO, O X XXOO,0.0
XO XX O  ,XO XX O O,0.0
 O   X X , O   XOX ,0.0
 O   XOX , OX  XOX ,0.0
 X XOOO X,XX XOOO X,0.0
 X XO  OX, XOXO  OX,0.0
O  X  OX ,O  X XOX ,0.0
  XXO  O ,  XXOX O ,0.0
  XXOX O , OXXOX O ,-1.0
  XXO  XO, OXXO  XO,0.0
 OXXO  XO, OXXOX XO,0.0
 OXXOX XO, OXXOXOXO,0.0
 O XX OX , O XX OXO,0.0
X X   OO ,X X  XOO ,0.0
XOO     X,XOO  X  X,0.0
XOO  X  X,XOO  XO X,0.0
XOO  XO X,XOOX XO X,0.0
XO  XX  O,XO  XX OO,0.0
O     XX ,O O   XX ,0.0
  XXO   O, XXXO   O,0.0
 XXXOO  O,XXXXOO  O,1.0
   OXOX  , X OXOX  ,0.0
 X OXOX  , XOOXOX  ,0.0
  OOX X  ,X OOX X  ,0.0
X OOX XO ,X OOX XOX,1.0
OX  XX O ,OXO XX O ,0.0
 X  OO X , X  OOXX ,0.0
  XOOX X ,  XOOX XO,0.0
XX OX   O,XX OX  OO,0.0
     XOXO,    XXOXO,0.0
 XOOX   X, XOOX  OX,0.0
 XOOX  OX,XXOOX  OX,1.0
O    X XO,O X  X XO,0.0
O X  X XO,OOX  X XO,0.0
OOX  X XO,OOX XX XO,0.0
 OX  X  O, OXX X  O,0.0
 OXX X  O, OXX XO O,0.0
  O X OX ,  O X OXX,0.0
  O X OXX,  O XOOXX,0.0
XX O  O  ,XX O XO  ,0.0
XX O XO  ,XX O XOO ,0.0
XX O XOO ,XX O XOOX,0.0
XX O XOOX,XX OOXOOX,0.0
OXO OXXX ,OXO OXXXO,-1.0
XOXO  O X,XOXO XO X,1.0
O  XXOXO ,O XXXOXO ,1.0
O O  XXOX,O O XXXOX,0.0
O O XXXOX,O OOXXXOX,0.0
   OXXOX ,   OXXOXO,0.0
  O  XX O,X O  XX O,0.0
 OXXO  X ,OOXXO  X ,0.0
OOXXO  X ,OOXXO XX ,0.0
O  XX   O,O  XX  XO,0.0
O  XXOXXO,O OXXOXXO,-1.0
X XX   OO,XOXX   OO,0.0
OO  X  X ,OO  X XX ,0.0
XO X   XO,XO X  OXO,0.0
XO X  OXO,XOXX  OXO,0.0
XOXX  OXO,XOXX OOXO,0.0
O XX XOO ,O XX XOOX,1.0
OXXO X  O,OXXO XX O,0.0
 XXOX OO ,XXXOX OO ,1.0
 X O XXO , X OOXXO ,0.0
  O XOX  ,  O XOXX ,0.0
 X  O OXX, XO O OXX,-1.0
XO  OX   ,XO  OX  X,0.0
O O X   X,OXO X   X,0.0
OXO X   X,OXO X  OX,0.0
OXO X  OX,OXOXX  OX,0.0
OXOXX  OX,OXOXXO OX,0.0
 XOOXX   , XOOXXO  ,0.0
OOX X   X,OOX X O X,0.0
  XO X XO,  XO XOXO,0.0
  XO XOXO, XXO XOXO,0.0
 XXO XOXO, XXOOXOXO,0.0
   OX XXO,  OOX XXO,0.0
X OX  O  ,X OX  OX ,0.0
X OX  OX ,X OXO OX ,-1.0
X OO XOX ,XXOO XOX ,0.0
 X  O XOX, X OO XOX,0.0
    O  XX,    OO XX,0.0
OXO  XX  ,OXO OXX  ,0.0
X XOO X O,XXXOO X O,1.0
OO     XX,OOX    XX,0.0
OOX  O XX,OOX  OXXX,1.0
OXO  XOX ,OXO XXOX ,1.0
 OXOX  XO,XOXOX  XO,0.0
X O   OXX,XOO   OXX,0.0
OX X OOX ,OX XXOOX ,1.0
X OX  OX ,X OX OOX ,0.0
 OOX  XOX, OOXX XOX,0.0
 OOXX XOX,OOOXX XOX,-1.0
 X OXXOO , XXOXXOO ,0.0
 XXOXXOO , XXOXXOOO,-1.0
     OOXX,   X OOXX,0.0
   X OOXX, O X OOXX,0.0
 XX  XO O,OXX  XO O,0.0
OXX  XOXO,OXXO XOXO,-1.0
  X X OXO,  X XOOXO,0.0
OX   XO X,OX  OXO X,0.0
X  OXX  O,X  OXXO O,0.0
O XXO OX ,O XXOXOX ,0.0
O   X  XO,O X X  XO,0.0
O X X  XO,O XOX  XO,0.0
O XOX  XO,O XOX XXO,1.0
 OO X X X, OOOX X X,0.0
OX  O  X ,OX  OX X ,0.0
 O XO   X, OXXO   X,0.0
 OXXO   X, OXXO O X,0.0
 OXXO O X, OXXO OXX,0.0
 O O  XX ,XO O  XX ,0.0
XO O  XX ,XO O OXX ,0.0
XO O OXX ,XO O OXXX,1.0
   XO OXX, O XO OXX,0.0
 OXXO OXX,OOXXO OXX,0.0
 O X  XXO, O XO XXO,0.0
O  X OOXX,OX X OOXX,0.0
OX OX   X,OX OX  OX,0.0
OX OX  OX,OXXOX  OX,0.0
XX XXOO O,XXOXXOO O,-1.0
 X O  OXX, XOO  OXX,0.0
  XO   XO,  XOX  XO,0.0
  XOX  XO,  XOX OXO,0.0
X O X OX ,X O XOOX ,0.0
O OX O XX,O OX OXXX,1.0
   OOXOXX,  XOOXOXX,1.0
X  X  OXO,X OX  OXO,0.0
X OX  OXO,X OXX OXO,0.0
X OXX OXO,X OXXOOXO,-1.0
X  O X OX,XO O X OX,0.0
XO    XO ,XO X  XO ,1.0
    OX XO,   XOX XO,0.0
   XOX XO, O XOX XO,0.0
O X O  X ,O X O XX ,0.0
O X O X  ,O X OXX  ,0.0
O X OXX  ,O X OXXO ,0.0
  XXOO   ,X XXOO   ,0.0
 XX  X OO, XX OX OO,0.0
 XX OX OO, XX OXXOO,0.0
 OX  OXX , OXO OXX ,0.0
 OXO OXX ,XOXO OXX ,0.0
X O    OX,X O X  OX,1.0
X OX X OO,X OXXX OO,1.0
  XXX OO ,O XXX OO ,0.0
O XOOXX  ,OXXOOXX  ,0.0
O X   O X,O XX  O X,0.0
O XX  O X,O XX OO X,0.0
XXOO OX  ,XXOO OXX ,0.0
XXOO OXX ,XXOO OXXO,-1.0
OOXX OXX ,OOXX OXXO,0.0
X OX O X ,X OXOO X ,0.0
OXOX  XO ,OXOXX XO ,0.0
O  X   OX,OX X   OX,0.0
OX X  OOX,OXXX  OOX,0.0
OXX XO   ,OXX XO O ,0.0
OXX XO O ,OXX XOXO ,1.0
OX OXX   ,OX OXXO  ,-1.0
 XO X XO , XO XOXO ,0.0
X X O O X,X X OOO X,0.0
X X OOO X,XXX OOO X,1.0
OXX OO X ,OXX OOXX ,0.0
X  OO X X,X  OO XOX,0.0
X  OO XOX,X  OOXXOX,0.0
  O OXX X,O O OXX X,0.0
O O OXX X,OXO OXX X,0.0
OX  O XOX,OX XO XOX,0.0
X XX O O ,XOXX O O ,0.0
XOXX O O ,XOXX O OX,0.0
O  OXXXO ,O XOXXXO ,1.0
OX X  O  ,OX X XO  ,0.0
OX X XO  ,OX X XO O,0.0
X   O   X,X   O O X,0.0
X   O OXX,X O O OXX,-1.0
XX    OOX,XX  O OOX,0.0
XX  O OOX,XXX O OOX,1.0
 OXX    O, OXX  X O,0.0
X O XOOX ,X O XOOXX,1.0
O  XX XO ,O  XX XOO,0.0
 XO X    , XO X O  ,0.0
  O XX O ,X O XX O ,0.0
O X XO  X,O XOXO  X,0.0
O XOXO  X,O XOXOX X,1.0
 XXO  OX , XXO  OXO,0.0
O XX  O X,O XX  OOX,0.0
O XX  OOX,O XX XOOX,1.0
 X   OOXX, X  OOOXX,0.0
 X OOXXO , XXOOXXO ,0.0
 XXOOXXO ,OXXOOXXO ,0.0
OO XOX X ,OO XOX XX,0.0
OO XOX XX,OOOXOX XX,-1.0
OX XOX O ,OX XOX OX,0.0
 OXOXX  O, OXOXXX O,1.0
OX  X OOX,OXX X OOX,0.0
OXX X OOX,OXX XOOOX,0.0
O    XXXO,O  O XXXO,0.0
O  O XXXO,O XO XXXO,0.0
O XO XXXO,O XOOXXXO,-1.0
X XO O X ,X XO OOX ,0.0
OX O X   ,OX O XX  ,0.0
OX OOXX  ,OXXOOXX  ,0.0
  OXXOX  ,  OXXOX O,-1.0
 XX  O OX,OXX  O OX,0.0
OXX  O OX,OXXX O OX,0.0
  X O XO ,X X O XO ,0.0
X X O XO ,X XOO XO ,0.0
X XOO XO ,X XOO XOX,0.0
OXX X O  ,OXX X OO ,0.0
  O   XOX,  O  XXOX,0.0
XX XO   O,XXOXO   O,0.0
OX  OX  X,OXO OX  X,0.0
OXO OX  X,OXO OXX X,0.0
OXX  X O ,OXX  XOO ,0.0
O   XXOX ,O   XXOXO,0.0
XO   X  O,XO   XX O,0.0
XO    XOX,XO   OXOX,0.0
O  X X  O,O  XXX  O,1.0
X  O O XX,X  O OOXX,0.0
X  O OOXX,X  OXOOXX,1.0
X O OXX  ,X O OXXO ,0.0
 OOX X  X, OOX XO X,0.0
 XOXXO   , XOXXOO  ,0.0
OOX XX   ,OOX XX  O,0.0
   O X XO,X  O X XO,0.0
X  O X XO,XO O X XO,0.0
OXOXX    ,OXOXX O  ,0.0
 X O OXOX,XX O OXOX,0.0
 O O XX X, OOO XX X,0.0
 OOO XX X, OOO XXXX,1.0
  XOX  XO, OXOX  XO,0.0
  XO XXO ,O XO XXO ,0.0
 X OO X  ,XX OO X  ,0.0
X  O XXO ,X  O XXOO,0.0
X  O XXOO,X  OXXXOO,0.0
  X   OXO, XX   OXO,0.0
 XX   OXO,OXX   OXO,0.0
 XOXOX   , XOXOXO  ,-1.0
XXO  O  X,XXO  OO X,0.0
 XO  O X , XO XO X ,1.0
  XO O  X,X XO O  X,0.0
X XO O  X,X XOOO  X,-1.0
OO  X  XX,OO OX  XX,0.0
OO OX  XX,OO OX XXX,1.0
  XOOX   ,X XOOX   ,0.0
X   XXO O,XO  XXO O,0.0
O   XX OX,O  OXX OX,0.0
O  OXX OX,O XOXX OX,1.0
XO X  OOX,XO X XOOX,0.0
 X XXOO  , X XXOOO ,0.0
XX XXOOO ,XX XXOOOO,-1.0
XOO X X  ,XOO X X O,0.0
  O OXX  ,  O OXXX ,0.0
 XOO  XXO, XOOX XXO,1.0
O X  O XX,OOX  O XX,0.0
 OXX   O , OXX  XO ,0.0
 OXX  XO , OXX  XOO,0.0
 OXX  XOO,XOXX  XOO,1.0
OXX   O  ,OXX   OX ,0.0
 XOO XX  ,OXOO XX  ,0.0
OXOO XX  ,OXOOXXX  ,0.0
OO  XX XO,OO XXX XO,1.0
XX   O OX,XX O O OX,0.0
 OX X  O ,XOX X  O ,0.0
XOX X  O ,XOX XO O ,0.0
XOX XO O ,XOX XO OX,1.0
  OX  OX ,  OXX OX ,0.0
  OXX OX ,O OXX OX ,0.0
X OXO  OX,X OXO XOX,1.0
O   X XXO,O  OX XXO,0.0
   OX  OX,   OXX OX,0.0
  X XXOO ,  X XXOOO,-1.0
   O XOX ,  XO XOX ,0.0
  XO XOX , OXO XOX ,0.0
 OXO XOX , OXOXXOX ,0.0
 O XO X X, O XO XOX,-1.0
X X O OX ,X X OOOX ,0.0
X X OOOX ,X XXOOOX ,0.0
 XX  OO X, XXO OO X,0.0
OXXX OX O,OXXXOOX O,-1.0
OO  X X  ,OOX X X  ,1.0
  XOO X  ,  XOOXX  ,0.0
 OXXXOO  , OXXXOO X,0.0
 X O  O X,XX O  O X,0.0
XX O  OOX,XX O XOOX,0.0
OX  XXO  ,OXO XXO  ,0.0
OXX OX   ,OXX OX O ,0.0
X  X    O,X  X   OO,0.0
X OOO X X,X OOO XXX,1.0
XOX  XO O,XOX XXO O,0.0
XOX XXO O,XOXOXXO O,0.0
  XX O XO,  XXOO XO,0.0
  XXOO XO, XXXOO XO,0.0
X XX  OO ,X XXO OO ,0.0
O  XOX   ,O  XOX  X,0.0
O  XOX  X,OO XOX  X,0.0
OO XOX  X,OO XOX XX,0.0
OO XOX XX,OO XOXOXX,0.0
  O O  XX,  O O XXX,1.0
 O   XOX , O X XOX ,0.0
OO X XOX ,OOXX XOX ,0.0
OOXX XOX ,OOXXOXOX ,0.0
X    OX O,X X  OX O,0.0
X X  OX O,X X  OXOO,0.0
X X  OXOO,XXX  OXOO,1.0
O  XOOXX ,O  XOOXXX,1.0
  O OXXOX, XO OXXOX,0.0
  OXO X X, OOXO X X,0.0
 XO XOXO ,XXO XOXO ,0.0
XXO XOXO ,XXOOXOXO ,0.0
O  O XX X,OO O XX X,0.0
X  O X O ,X  O XXO ,0.0
  X O  X ,  XOO  X ,0.0
 O XX O  , O XX OX ,0.0
 O XX OX ,OO XX OX ,0.0
  X XOO  , XX XOO  ,0.0
 XX XOO  , XXOXOO  ,0.0
 XXOXOO  , XXOXOO X,0.0
XO  X XO ,XO  XOXO ,0.0
  O XOX X, OO XOX X,0.0
X  X  O O,X XX  O O,0.0
X XX  O O,X XX  OOO,-1.0
X O  X OX,X O OX OX,0.0
X O OX OX,X OXOX OX,0.0
 XX O XO , XX OOXO ,0.0
OXO O  XX,OXO O XXX,1.0
  XO OX X,  XO OXOX,0.0
  XO OXOX,X XO OXOX,0.0
O   XO X ,O   XOXX ,0.0
O   XOXX ,OO  XOXX ,0.0
OO  XOXX ,OO XXOXX ,0.0
X O O  X ,X O O  XX,0.0
 XO X O  , XO XXO  ,0.0
 XO XXO  , XO XXO O,0.0
X O X O  ,X O X OX ,0.0
X O X OX ,X O X OXO,0.0
XOX O O X,XOXXO O X,0.0
OX XO X  ,OX XOOX  ,0.0
OX XOOX  ,OXXXOOX  ,0.0
 O    OXX,XO    OXX,0.0
XO O  OXX,XOXO  OXX,0.0
XOXO  OXX,XOXO OOXX,0.0
XXOO   XO,XXOO X XO,0.0
OXX   X O,OXXO  X O,0.0
OXXO  X O,OXXOX X O,1.0
O    OX X,O  X OX X,0.0
X OO  X X,X OOO X X,0.0
 XO   XO , XO  XXO ,0.0
OO   X XX,OOO  X XX,-1.0
OOX    XX,OOXO   XX,0.0
 X X OO X, XOX OO X,0.0
 XOX OO X, XOXXOO X,0.0
 XOXXOO X,OXOXXOO X,0.0
 X XO  XO, X XOO XO,0.0
 O   X  X,OO   X  X,0.0
OO   XXOX,OOX  XXOX,1.0
 XOO  X  ,XXOO  X  ,0.0
  XOX O  ,  XOXXO  ,0.0
OX X   OX,OX X O OX,0.0
OX X O OX,OX XXO OX,0.0
 XX OO   , XX OO  X,0.0
 XX OO  X,OXX OO  X,0.0
   XOXX O,O  XOXX O,-1.0
  OX  O X,  OX  OXX,0.0
  OX  OXX, OOX  OXX,0.0
 OOX XOXX,OOOX XOXX,-1.0
   XOXO  ,  XXOXO  ,0.0
  XXOXO  ,  XXOXOO ,0.0
  XXOXOO ,  XXOXOOX,1.0
X O XXO  ,X O XXO O,0.0
X O XXO O,X O XXOXO,0.0
 OO  X X , OO  X XX,0.0
OX   XXO ,OX  OXXO ,0.0
OX  OXXO ,OXX OXXO ,0.0
OXX OXXO ,OXXOOXXO ,0.0
 OXXO   X, OXXO  OX,-1.0
X  OXO   ,X  OXO X ,0.0
OX  X  OX,OX OX  OX,0.0
X  OOX  X,X OOOX  X,0.0
X OOOX  X,XXOOOX  X,0.0
OXXX  O  ,OXXX OO  ,0.0
  XXXOOO ,X XXXOOO ,0.0
X XXXOOO ,XOXXXOOO ,0.0
 OXX   O , OXX X O ,0.0
 OXX X O , OXX X OO,0.0
 OXX X OO, OXX XXOO,0.0
 OXX XXOO, OXXOXXOO,-1.0
 O X X  O, OXX X  O,0.0
 X O X  O, X O X XO,0.0
 X O X XO, X O XOXO,0.0
 X O XOXO,XX O XOXO,0.0
   X XOO , X X XOO ,0.0
 X X XOO ,OX X XOO ,0.0
OX X XOO ,OX X XOOX,0.0
OX X XOOX,OX XOXOOX,0.0
   XOOXX ,  OXOOXX ,0.0
O   XXO X,OO  XXO X,0.0
  XX   OO,  XX  XOO,0.0
  XX  XOO,  XX OXOO,0.0
  XX OXOO,X XX OXOO,1.0
   X OOX ,   XXOOX ,0.0
O XX    O,O XXX   O,0.0
O XXX   O,O XXX  OO,0.0
O XXX  OO,O XXX XOO,1.0
 OXXO OX , OXXO OXX,0.0
 O    XX , O O  XX ,0.0
 O O  XX , O O  XXX,1.0
O X   XO ,O X X XO ,1.0
  OX O XX, OOX O XX,0.0
OOXXX OX ,OOXXXOOX ,0.0
OXO    XX,OXO  O XX,0.0
XO OO  XX,XO OO XXX,1.0
  XX O OX, OXX O OX,0.0
XOOO  XX ,XOOO  XXX,1.0
XO X O   ,XO X OX  ,1.0
XO   XXO ,XOO  XXO ,0.0
XOO  XXO ,XOOX XXO ,1.0
XX OO X  ,XX OOOX  ,-1.0
 X O  XOX,OX O  XOX,0.0
OXXO  XOX,OXXO OXOX,0.0
XOO  X XO,XOO XX XO,0.0
 O OXXO X, OXOXXO X,1.0
O X O XX ,O XOO XX ,0.0
O XOO XX ,OXXOO XX ,0.0
  XO  OXX,O XO  OXX,-1.0
   OX XOX,  OOX XOX,0.0
OOX  X   ,OOXX X   ,0.0
OOXX X   ,OOXXOX   ,0.0
OOXXOX   ,OOXXOXX  ,0.0
OOXXOXX  ,OOXXOXXO ,-1.0
   X  XOO, X X  XOO,0.0
 X X  XOO, X X OXOO,0.0
O  X O XX,O  XOO XX,0.0
OX    XO ,OX  X XO ,0.0
XO  X X O,XO OX X O,0.0
XO OX X O,XOXOX X O,1.0
XXOX  O  ,XXOX  O O,0.0
XXOX  O O,XXOX XO O,0.0
XXOX XO O,XXOXOXO O,-1.0
X OO OXX ,X OO OXXX,1.0
 XO   XO , XO X XO ,0.0
O XOX   X,OOXOX   X,0.0
OOX X    ,OOX X X  ,1.0
   XOX O ,X  XOX O ,0.0
X  XOX O ,X  XOX OO,0.0
X   OX  O,X   OXX O,0.0
 X O   OX, X OX  OX,0.0
XXO   O  ,XXO   OX ,0.0
XXO  OOX ,XXO XOOX ,1.0
  X  X OO,  XX X OO,0.0
  XX X OO,O XX X OO,0.0
   O  XXO,  XO  XXO,0.0
  XO  XXO,  XOO XXO,0.0
  XOO XXO,X XOO XXO,0.0
X XOO XXO,XOXOO XXO,0.0
X  XO OOX,X  XOXOOX,0.0
X  XOXOOX,X OXOXOOX,-1.0
XX    O O,XX X  O O,0.0
O   X X  ,OO  X X  ,0.0
  XXO X O,  XXOOX O,0.0
X XOO  X ,X XOO  XO,0.0
 O  XXO  ,XO  XXO  ,0.0
 XX OO   , XX OOX  ,0.0
 XX OOX  , XXOOOX  ,-1.0
 O X OX X, O X OXOX,0.0
XO X X OO,XO X XXOO,1.0
OXX  O XO,OXX XO XO,1.0
XX  OXOO ,XXX OXOO ,1.0
   X  OOX,   XX OOX,0.0
  OXX OOX, XOXX OOX,0.0
 XOXX OOX, XOXXOOOX,0.0
 OX XO X , OX XOOX ,0.0
 OX XOOX ,XOX XOOX ,0.0
XX OO  X ,XX OO OX ,0.0
X  O XX O,XO O XX O,0.0
  XO   XO,X XO   XO,0.0
X XO   XO,XOXO   XO,0.0
XX  XO O ,XX OXO O ,0.0
XX OXO O ,XX OXOXO ,0.0
 X OXXO  , X OXXOO ,0.0
OX XOXO  ,OXXXOXO  ,0.0
OXXXOXO  ,OXXXOXO O,-1.0
X  OX XO ,X  OXOXO ,0.0
OX   XO  ,OX   XO X,0.0
OX   XO X,OX O XO X,-1.0
X OX  OXO,XXOX  OXO,0.0
XO   OOXX,XO  XOOXX,1.0
OX    X O,OX X  X O,0.0
OX X  X O,OX X  XOO,0.0
 X  O  XO, X XO  XO,0.0
 XOXO  XO,XXOXO  XO,0.0
XXOXO  XO,XXOXOO XO,-1.0
XOX     O,XOX   X O,0.0
OOXX   XO,OOXXX  XO,0.0
OOXXX  XO,OOXXXO XO,0.0
O OXOXX  ,O OXOXXX ,0.0
 X   XOXO, X O XOXO,0.0
 X O XOXO, XXO XOXO,0.0
  OX XXO , OOX XXO ,0.0
 X O XXO , X O XXOO,0.0
 X O XXOO,XX O XXOO,0.0
X OX    O,X OX X  O,0.0
X OX X  O,X OX X OO,0.0
  X  XO O,  X  XOXO,0.0
  X  XOXO,  XO XOXO,0.0
  XO XOXO,X XO XOXO,0.0
  OOXX   ,  OOXX  X,0.0
  OOXX  X,O OOXX  X,0.0
O OOXX  X,OXOOXX  X,0.0
X OO XX  ,X OO XX O,0.0
X OO XX O,XXOO XX O,0.0
  X X  OO,  XXX  OO,0.0
  XXX  OO,O XXX  OO,0.0
OX   OX X,OX   OXOX,0.0
OX   OXOX,OXX  OXOX,0.0
XXOO XO  ,XXOO XO X,0.0
XXOO XO X,XXOO XOOX,0.0
 X X O  O, X XXO  O,0.0
X XX   OO,X XXO  OO,0.0
X XXO  OO,XXXXO  OO,1.0
 OXX  XO , OXXO XO ,-1.0
 OXX X O ,OOXX X O ,0.0
OOX X  X ,OOXOX  X ,0.0
XOXXO    ,XOXXO   O,0.0
XO  X   O,XO XX   O,0.0
OX   O X ,OX X O X ,0.0
 X X O   , X X O O ,0.0
 X X O OX,OX X O OX,0.0
OX X O OX,OX X OXOX,0.0
  X OXO  , XX OXO  ,0.0
 XX OXO  , XXOOXO  ,0.0
  OOX X  , XOOX X  ,0.0
 XOOX X  ,OXOOX X  ,0.0
XOO  X   ,XOO  X X ,0.0
XOO  X X ,XOO  X XO,0.0
 OX XX O , OX XXOO ,0.0
OO X   XX,OO X  OXX,0.0
 XX   OXO, XX  OOXO,0.0
OX    XO ,OXX   XO ,0.0
  XX   OO,  XX X OO,0.0
  XXOX OO,  XXOXXOO,0.0
 X OO X  , XXOO X  ,0.0
 XXOO X  , XXOO XO ,0.0
 XXOO XO , XXOOXXO ,0.0
 XXOOXXO , XXOOXXOO,0.0
 XOX XO O, XOX XOXO,0.0
X X  O  O,X X XO  O,0.0
X X XO  O,X X XOO O,0.0
XXO OOX  ,XXOXOOX  ,1.0
O OX XO X,OXOX XO X,0.0
OXOX XO X,OXOXOXO X,-1.0
OX XO   X,OX XO O X,0.0
OX XO O X,OXXXO O X,0.0
 X   OO X, X  XOO X,0.0
 X  XOO X, X  XOOOX,0.0
   XOOOXX, X XOOOXX,0.0
 X  X OO ,XX  X OO ,0.0
XX  X OO ,XX OX OO ,0.0
O XXX   O,OOXXX   O,0.0
  X  OXXO, OX  OXXO,0.0
 XX O  O , XX OX O ,0.0
OO  X   X,OO XX   X,0.0
OO XX   X,OOOXX   X,-1.0
 O X OX  , OXX OX  ,0.0
 XOXO  X ,OXOXO  X ,0.0
 OO   XX ,XOO   XX ,0.0
  O OXX  ,X O OXX  ,0.0
X O OXX  ,X OOOXX  ,0.0
X OOOXX  ,X OOOXX X,0.0
O XOOXX  ,O XOOXX X,1.0
  OO X X , XOO X X ,0.0
 XOO X XO,XXOO X XO,0.0
 XXO    O,XXXO    O,1.0
 XO OOXX , XO OOXXX,1.0
   X  OOX,   X XOOX,0.0
   X XOOX, O X XOOX,0.0
OO XX O X,OO XXXO X,1.0
  OXO   X,X OXO   X,0.0
O  XO XX ,OO XO XX ,0.0
   XOOOXX,X  XOOOXX,0.0
XOOX   X ,XOOX   XO,0.0
  XX O  O,X XX O  O,0.0
X XX O  O,X XXOO  O,0.0
XOO XXOX ,XOOOXXOX ,0.0
XOX  O   ,XOX  O X ,0.0
XOX  O XO,XOX XO XO,0.0
XOX XO XO,XOXOXO XO,0.0
X  XO O  ,XX XO O  ,0.0
XX XO O  ,XX XOOO  ,0.0
XXO X  O ,XXO X OO ,0.0
XXO X OO ,XXOXX OO ,0.0
 OX O XX , OX OOXX ,0.0
  X OXOXO,X X OXOXO,0.0
O X   OXX,O X  OOXX,0.0
  OXOX XO,X OXOX XO,0.0
XO  O XX ,XO OO XX ,0.0
XO OO XX ,XO OO XXX,1.0
  XX OO X,  XXOOO X,0.0
   X O XO,  XX O XO,0.0
 X O XOX , X O XOXO,0.0
 X OX X O, X OX XOO,0.0
 X OX XOO,XX OX XOO,0.0
OXOX  X  ,OXOX  XO ,0.0
OXXO   XO,OXXO  XXO,0.0
X O X OX ,X OOX OX ,0.0
X OOX OX ,XXOOX OX ,1.0
OO X X X ,OO XOX X ,0.0
OO XOX X ,OOXXOX X ,0.0
O  X XXO ,O  XOXXO ,0.0
O  XO  XX,OO XO  XX,0.0
XOXO O X ,XOXO OXX ,0.0
 X O X O ,XX O X O ,0.0
XX O X O ,XX O X OO,0.0
 OX   XOX, OX O XOX,-1.0
 X XXO O , XOXXO O ,0.0
  XOO   X, XXOO   X,0.0
 XXOO   X, XXOO  OX,0.0
 X X O O ,XX X O O ,0.0
XX X O O ,XX XOO O ,0.0
XO O XX O,XOXO XX O,0.0
XOXO XX O,XOXOOXX O,0.0
O  X XO  ,O XX XO  ,0.0
O XX XO  ,OOXX XO  ,0.0
O    OX X,O    OXXX,1.0
     XOXO, X   XOXO,0.0
 X   XOXO,OX   XOXO,0.0
XX XO OOX,XXOXO OOX,-1.0
X O O  XX,X O O OXX,-1.0
X XO O  X,X XO O OX,0.0
X XO O OX,X XOXO OX,1.0
