State before win,Win action,Reward
X OXXO O ,XXOXXO O ,0.0
XXOXXO O ,XXOXXOOO ,0.0
XXOXXOOO ,XXOXXOOOX,1.0
X       O,X X     O,0.0
X X     O,X X    OO,0.0
X X    OO,X X   XOO,0.0
X X   XOO,X X O XOO,0.0
X X O XOO,X X OXXOO,0.0
X X OXXOO,XOX OXXOO,-1.0
   X     ,   X   O ,0.0
   X   O ,   XX  O ,0.0
   XX  O ,O  XX  O ,0.0
O  XX  O ,O  XXX O ,1.0
        X,      O X,0.0
      O X,  X   O X,0.0
  X   O X,O X   O X,0.0
O X   O X,OXX   O X,0.0
OXX   O X,OXXO  O X,-1.0
 X    O  , X X  O  ,0.0
 X X  O  , X X  OO ,0.0
 X X  OO , X XX OO ,0.0
 X XX OO , X XXOOO ,0.0
 X XXOOO , X XXOOOX,0.0
 X XXOOOX, XOXXOOOX,0.0
 XOXXOOOX,XXOXXOOOX,1.0
X        ,X    O   ,0.0
X    O   ,X   XO   ,0.0
X   XO   ,X   XOO  ,0.0
X   XOO  ,X   XOOX ,0.0
X   XOOX ,XO  XOOX ,0.0
XO  XOOX ,XO  XOOXX,1.0
   X     ,   XO    ,0.0
   XO    ,   XOX   ,0.0
   XOX   ,   XOX O ,0.0
   XOX O ,   XOX OX,0.0
   XOX OX,O  XOX OX,0.0
O  XOX OX,O  XOXXOX,0.0
O  XOXXOX,OO XOXXOX,-1.0
 X  O    , X XO    ,0.0
 X XO    ,OX XO    ,0.0
OX XO    ,OX XO  X ,0.0
OX XO  X ,OXOXO  X ,0.0
OXOXO  X ,OXOXO XX ,0.0
OXOXO XX ,OXOXOOXX ,0.0
OXOXOOXX ,OXOXOOXXX,1.0
     X   ,O    X   ,0.0
O    X   ,O    X X ,0.0
O    X X ,O O  X X ,0.0
O O  X X ,O O  X XX,0.0
O O  X XX,O O OX XX,0.0
O O OX XX,O O OXXXX,1.0
  X    O ,X X    O ,0.0
X X    O ,X X    OO,0.0
X X   XOO,XOX   XOO,0.0
XOX   XOO,XOX X XOO,1.0
 X    O  ,XX    O  ,0.0
XX    O  ,XX   OO  ,0.0
XX   OO  ,XXX  OO  ,1.0
   XO    , X XO    ,0.0
 X XO    , X XOO   ,0.0
 X XOO   ,XX XOO   ,0.0
XX XOO   ,XX XOO O ,0.0
XX XOO O ,XXXXOO O ,1.0
 X       , X     O ,0.0
 X     O , XX    O ,0.0
 XX    O , XX   OO ,0.0
 XX   OO , XX X OO ,0.0
 XX X OO , XX XOOO ,0.0
 XX XOOO ,XXX XOOO ,1.0
   X     , O X     ,0.0
 O X     , O XX    ,0.0
 O XX    , OOXX    ,0.0
 OOXX    , OOXX  X ,0.0
 OOXX  X ,OOOXX  X ,-1.0
 X       , XO      ,0.0
 XO      ,XXO      ,0.0
XXO      ,XXO    O ,0.0
XXO    O ,XXO X  O ,0.0
XXO X  O ,XXOOX  O ,0.0
